"";"Effect";"Censoring....";"Participants";"Bias_NPPR";"Bias_PPR";"Bias_Cox";"Bias_LL";"MSE_NPPR";"MSE_PPR";"MSE_Cox";"MSE_LL"
"1";0;30;500;0,0024877114;-0,0106949883;2,79224584286517e-06;0,000333893714579454;0,01020344;0,119648328;0,0126040313617894;0,026346957044313
"2";0;30;100;0,0029883833;0,0181364791;-0,00103414082642168;-0,00642385130001397;0,05007553;0,303498358;0,0649935020704238;0,132317374420275
"3";0;30;50;0,009580323;-0,005839107;0,00722078616921683;0,00995809767901555;0,10609108;0,423507691;0,138760217764493;0,249588721638309
"4";0;50;500;0,0003641243;-0,0003790416;0,00184069569553029;0,00552723661963953;0,01573212;0,005047597;0,0181107639494668;0,0298024026922974
"5";0;50;100;-0,0048897154;0,0022005955;0,00842539889360067;0,0110391362092094;0,07874541;0,037415685;0,0930017112341684;0,161599050248413
"6";0;50;50;0,0061163795;0,007770262;-0,00918171677215551;-0,0152850677115466;0,15567118;0,140406211;0,192278768831504;0,315926918816092
"7";0;70;500;-0,0053773841;-0,0031487672;-0,00208981903882907;-0,00325329660713732;0,02723291;0,0155626;0,0280879779496627;0,040119383621797
"8";0;70;100;0,0057071821;0,0057423046;-0,0117832643929225;-0,0120421038778447;0,13457929;0,083638582;0,145713411786844;0,211178350565918
"9";0;70;50;-0,0395221308;-0,0165258149;0,0249593609282452;0,0267341921590693;0,26964765;0,187002454;0,323907745639178;0,463424281765097
"10";0,5;30;500;0,0034098236;0,2038936818;0,494844467098115;0,426438693809258;0,01274351;0,174862828;0,259487539033192;0,209746908464819
"11";0,5;30;100;-0,0035291684;0,3137088204;0,490402893321503;0,44376402639551;0,06339896;0,45765437;0,314011409471696;0,336550325104593
"12";0,5;30;50;0,0135335221;0,3838162589;0,493512295734568;0,47555404069961;0,11485376;0,591740746;0,397224160231167;0,521218997380998
"13";0,5;50;500;0,0011888621;0,065355267;0,366966872876147;0,378455600719097;0,01554938;0,015874868;0,151010692476724;0,170577476290807
"14";0,5;50;100;0,0009839372;0,1517816717;0,359010633634036;0,398579218429859;0,07897947;0,118457147;0,222296317769443;0,316234730786826
"15";0,5;50;50;-0,0286612214;0,2036261044;0,34678984436138;0,413709764138032;0,17066074;0,284051987;0,327904169037049;0,520411385442363
"16";0,5;70;500;0,00365524;0,0059197452;0,137617190689501;0,220866292822261;0,02908877;0,018526885;0,0499146150632923;0,0926465086846807
"17";0,5;70;100;0,005595366;0,0268372382;0,140502586302885;0,233923361664083;0,14560561;0,091251738;0,185746747980045;0,292802769450266
"18";0,5;70;50;-0,0430913679;0,0074778939;0,1617545159034;0,269032326279465;0,29847363;0,265054154;0,342145998052221;0,529111341685482
"19";0,25;30;500;-0,0062274786;0,0867351432;0,304874163160339;0,217166045324177;0,01112876;0,129882559;0,104739476397425;0,0713706251263791
"20";0,25;30;100;0,0031933996;0,1068438546;0,308762482764166;0,247662803135911;0,05163426;0,407246037;0,157600432464314;0,182641609191523
"21";0,25;30;50;-0,0091337887;0,1533859535;0,292509607953395;0,233516021158381;0,10604809;0,391342182;0,229207619724411;0,35558169440606
"22";0,25;50;500;0,0015338596;0,0414930227;0,208804220565596;0,206182215675737;0,01527122;0,007718536;0,0586972226290604;0,0691907282279302
"23";0,25;50;100;0,0015341587;0,1122454671;0,203678274949603;0,221409440017035;0,07183301;0,090520071;0,128831620186266;0,196133955900156
"24";0,25;50;50;0,0076161314;0,1387458216;0,174988723121691;0,197156061668614;0,15897209;0,19691354;0,231966979791158;0,360910687588621
"25";0,25;70;500;0,0020461735;0,0005560947;0,0694555796100204;0,11290434933848;0,02573145;0,01449674;0,0278451269921104;0,0450794007061648
"26";0,25;70;100;-0,0146202713;-0,00016109;0,0790503442012743;0,126227768224175;0,12746694;0,084378565;0,142027998551454;0,210888131528761
"27";0,25;70;50;-0,021629125;0,0118066805;0,1039764337809;0,16620548338689;0,2850703;0,206622781;0,322210034182788;0,479419681446341
"28";-0,25;30;500;0,0050132458;-0,1385936302;-0,304355988593062;-0,21451785555499;0,01131344;0,188107574;0,103525193914786;0,0698705387472565
"29";-0,25;30;100;-0,0012810847;-0,1360904461;-0,289542238135337;-0,221525646680247;0,05898428;0,376687314;0,145283506478328;0,18089540815336
"30";-0,25;30;50;-0,0001029883;-0,1656342642;-0,298049397859169;-0,252208923474975;0,10646022;0,524594319;0,226644454877614;0,362391772539244
"31";-0,25;50;500;-0,0129841126;-0,0321794177;-0,183463334115746;-0,188000515971602;0,01530916;0,006430215;0,0500127638181823;0,0636031465124716
"32";-0,25;50;100;0,0064507903;-0,0940910648;-0,16634119372603;-0,191835201141747;0,07567309;0,090641582;0,114584146661593;0,178826618207487
"33";-0,25;50;50;0,0020672696;-0,1158076593;-0,162155384384555;-0,194471993792015;0,16094764;0,161893983;0,206767903783251;0,347633002257091
"34";-0,25;70;500;0,0024263688;-0,000493592;-0,0746999795619659;-0,11974716775318;0,02794002;0,017177909;0,0324568145141232;0,0516638631806923
"35";-0,25;70;100;0,0064357646;0,0063613944;-0,100708247010246;-0,155743650433414;0,14191544;0,090941961;0,166517124584675;0,25010620012853
"36";-0,25;70;50;0,0378596381;-0,0028769139;-0,102698929967164;-0,153588216844876;0,28017506;0,239182154;0,348168477500798;0,493275725236863
"37";-0,5;30;500;0,0116147953;-0,227031592;-0,484891962324902;-0,41899703141804;0,01146735;0,222234657;0,248238945147584;0,200063295452918
"38";-0,5;30;100;-0,0095886245;-0,3229575353;-0,486796080501858;-0,454185652883399;0,06515395;0,411273255;0,306575810207633;0,33365813480959
"39";-0,5;30;50;-0,0093020922;-0,2974383553;-0,462979059326967;-0,447833455310161;0,1346292;0,552079154;0,357792409798086;0,477840822580397
"40";-0,5;50;500;-0,0022153115;-0,0971586707;-0,377263148404763;-0,389982832316541;0,01708939;0,052183777;0,159129478522197;0,18047082082366
"41";-0,5;50;100;0,0054614829;-0,1837217226;-0,353411295679992;-0,387704907142885;0,0762569;0,144507423;0,208279696333302;0,301920923544849
"42";-0,5;50;50;-0,0087471821;-0,2300478554;-0,359120160945339;-0,41930434247344;0,16899118;0,257989767;0,326035652337921;0,500730786552699
"43";-0,5;70;500;-0,0029362762;-0,0060326781;-0,140246317232462;-0,225047339982355;0,03065916;0,01941316;0,0474194315666359;0,0893232402550234
"44";-0,5;70;100;0,0194417216;-0,0063833274;-0,148781494009088;-0,244347835943276;0,1574747;0,097562514;0,181628035843227;0,280498283854932
"45";-0,5;70;50;0,0447252002;-0,0511952338;-0,149309582902089;-0,249656511245329;0,31306964;0,239954641;0,373292435794765;0,546053438633116
