"";"Effect";"Censoring....";"Participants";"Coverage_NPPR";"Coverage_LL"
"1";0;30;500;64,1;96,1
"2";0;30;100;64,9;97,289156626506
"3";0;30;50;63,8;96,3906581740977
"4";0;50;500;63,7;96,8
"5";0;50;100;64,5;95,5284552845528
"6";0;50;50;67,3;95,9913326110509
"7";0;70;500;66,6;96,7
"8";0;70;100;67,7;95,959595959596
"9";0;70;50;NA;94,3661971830986
"10";0,5;30;500;18,4;96,2
"11";0,5;30;100;50,1;96,8844221105528
"12";0,5;30;50;57,6;95,4497354497355
"13";0,5;50;500;40,1;96
"14";0,5;50;100;57,9;97,0438328236493
"15";0,5;50;50;60,8;95,3846153846154
"16";0,5;70;500;57,2;97,3973973973974
"17";0,5;70;100;65,3;95,1165371809101
"18";0,5;70;50;NA;92,5449871465296
"19";0,25;30;500;48,9;96,4
"20";0,25;30;100;57,1;96,1732124874119
"21";0,25;30;50;64,4;96,1538461538462
"22";0,25;50;500;54,4;95,1
"23";0,25;50;100;64,8;96,8399592252803
"24";0,25;50;50;66;95,3896816684962
"25";0,25;70;500;62,8;96,8968968968969
"26";0,25;70;100;66,4;96,2678375411636
"27";0,25;70;50;66,7673716012085;93,8875305623472
"28";-0,25;30;500;49,4;96,3
"29";-0,25;30;100;64,4;95,987963891675
"30";-0,25;30;50;63,7;95,2780692549843
"31";-0,25;50;500;53,2;97
"32";-0,25;50;100;67,4;97,3630831643002
"33";-0,25;50;50;65,5;96,17903930131
"34";-0,25;70;500;63,2;96,5965965965966
"35";-0,25;70;100;66,8;96,6254218222722
"36";-0,25;70;50;NA;94,7432762836186
"37";-0,5;30;500;17,8;96,3
"38";-0,5;30;100;50;94,9899799599198
"39";-0,5;30;50;58,8;94,7423764458465
"40";-0,5;50;500;37,2;95,8
"41";-0,5;50;100;60,6;96,7313585291113
"42";-0,5;50;50;63,1;95,3693495038589
"43";-0,5;70;500;59,7;97,5
"44";-0,5;70;100;64,2;97,9120879120879
"45";-0,5;70;50;NA;93,9774153074028
