"";"Underlying.Model";"Effect";"Participants";"NPPR";"Cox";"LL"
"1";"PPR";0;500;1000;"1000";"1000"
"2";"PPR";0;100;1000;"1000";"1000"
"3";"PPR";0;50;1000;"1000";"1000"
"4";"PPR";0,5;500;1000;"1000";"1000"
"5";"PPR";0,5;100;1000;"1000";"1000"
"6";"PPR";0,5;50;1000;"1000";"999"
"7";"PPR";0,25;500;1000;"1000";"1000"
"8";"PPR";0,25;100;1000;"1000";"1000"
"9";"PPR";0,25;50;1000;"1000";"1000"
"10";"PPR";-0,25;500;1000;"1000";"1000"
"11";"PPR";-0,25;100;1000;"1000";"1000"
"12";"PPR";-0,25;50;1000;"1000";"1000"
"13";"PPR";-0,5;500;1000;"1000";"1000"
"14";"PPR";-0,5;100;1000;"1000";"1000"
"15";"PPR";-0,5;50;1000;"1000";"1000"
"16";"Weibull PH";0;500;1000;"1000";"-"
"17";"Weibull PH";0;100;1000;"1000";"-"
"18";"Weibull PH";0;50;1000;"1000";"-"
"19";"Weibull PH";0,5;500;1000;"1000";"-"
"20";"Weibull PH";0,5;100;1000;"1000";"-"
"21";"Weibull PH";0,5;50;1000;"1000";"-"
"22";"Weibull PH";0,25;500;1000;"1000";"-"
"23";"Weibull PH";0,25;100;1000;"1000";"-"
"24";"Weibull PH";0,25;50;1000;"1000";"-"
"25";"Weibull PH";-0,25;500;1000;"1000";"-"
"26";"Weibull PH";-0,25;100;1000;"1000";"-"
"27";"Weibull PH";-0,25;50;1000;"1000";"-"
"28";"Weibull PH";-0,5;500;1000;"1000";"-"
"29";"Weibull PH";-0,5;100;1000;"1000";"-"
"30";"Weibull PH";-0,5;50;1000;"1000";"-"
"31";"LL PO";0;500;1000;"-";"1000"
"32";"LL PO";0;100;1000;"-";"1000"
"33";"LL PO";0;50;1000;"-";"1000"
"34";"LL PO";0,5;500;1000;"-";"1000"
"35";"LL PO";0,5;100;1000;"-";"1000"
"36";"LL PO";0,5;50;1000;"-";"1000"
"37";"LL PO";0,25;500;1000;"-";"1000"
"38";"LL PO";0,25;100;1000;"-";"1000"
"39";"LL PO";0,25;50;1000;"-";"1000"
"40";"LL PO";-0,25;500;1000;"-";"1000"
"41";"LL PO";-0,25;100;1000;"-";"1000"
"42";"LL PO";-0,25;50;1000;"-";"1000"
"43";"LL PO";-0,5;500;1000;"-";"1000"
"44";"LL PO";-0,5;100;1000;"-";"1000"
"45";"LL PO";-0,5;50;1000;"-";"1000"
