"";"Effect";"Censoring....";"Participants";"Coverage_NPPR";"Coverage_PPR";"Coverage_Cox";"Coverage_LL"
"1";0;30;500;95,3;95,53;94,3;100
"2";0;30;100;94,7;96,79;93,9;99,878197320341
"3";0;30;50;95;98,53;94,6;99,8716302952503
"4";0;50;500;93,9;96;94,8;100
"5";0;50;100;95,6;95,51;94,9;99,6503496503497
"6";0;50;50;97,5;93,51;94,5;99,6207332490518
"7";0;70;500;94,2;97,8;94;99,7977755308392
"8";0;70;100;95,9;96,92;95,6;99,6462264150943
"9";0;70;50;97,8;94,78;96,2962962962963;96,6799468791501
"10";0,5;30;500;94,6;92,4;1,5;99,3920972644377
"11";0,5;30;100;94,6;89,4;58,2;99,3127147766323
"12";0,5;30;50;96,1;91,1;81,8;98,5564304461942
"13";0,5;50;500;95,5;92,82;18,6;97,4798387096774
"14";0,5;50;100;96,5;92,88;79,4;98,4936268829664
"15";0,5;50;50;96,5;93,87;90,2;98,4334203655352
"16";0,5;70;500;94,3;95,09;86,7;94,3887775551102
"17";0,5;70;100;96,4;94,1;93,7;95,8283671036949
"18";0,5;70;50;97,58;91,04;96,8844221105528;95,3246753246753
"19";0,25;30;500;93,9;94,05;22,1;100
"20";0,25;30;100;95,8;93,49;79,9;99,7674418604651
"21";0,25;30;50;95,7;97,64;91;99,7412677878396
"22";0,25;50;500;93,7;94,28;63,2;100
"23";0,25;50;100;94,7;94,6;90,9;99,5375722543353
"24";0,25;50;50;96,3;93,98;92,2;99,3472584856397
"25";0,25;70;500;94,2;96,2;94;99,1967871485944
"26";0,25;70;100;95,6;96,25;95,4;97,6851851851852
"27";0,25;70;50;97,6;91,97;95,1951951951952;97,3856209150327
"28";-0,25;30;500;94,6;93,57;20,9;99,8960498960499
"29";-0,25;30;100;94,1;97,6;81,9;99,6389891696751
"30";-0,25;30;50;95,5;97,57;89,3;100
"31";-0,25;50;500;94,3;96,39;72,1;100
"32";-0,25;50;100;95,1;97,66;91,8;99,8800959232614
"33";-0,25;50;50;96,1;97,2;94,9;99,739921976593
"34";-0,25;70;500;93,7;96,5;92,6;100
"35";-0,25;70;100;96,7;95,95;94;99,5006242197253
"36";-0,25;70;50;98,19;95,62;96,1923847695391;98,5333333333333
"37";-0,5;30;500;95,7;94,46;0,8;99,2045454545455
"38";-0,5;30;100;94,5;95,54;58,6;99,737532808399
"39";-0,5;30;50;95,6;98,51;82,5;99,8635743519782
"40";-0,5;50;500;94,1;95,73;16,4;99,8930481283422
"41";-0,5;50;100;96,6;98,53;82;99,7474747474748
"42";-0,5;50;50;96,7;98,43;89,8;99,8628257887517
"43";-0,5;70;500;94,3;97,09;90;100
"44";-0,5;70;100;96,1;97,69;95,8;99,1473812423873
"45";-0,5;70;50;97,46;97,32;96,5931863727455;98,3935742971887
